seed,update,parameter_id,parameter_name,shape,rank_label,rank,residual_over_matrix_norm,max_abs_residual,max_abs_matrix,block_absmax_ratio_mean,block_absmax_ratio_median,danger_zone_residual_norm_fraction,prior_update_cosine_gain,prior_scale_reduction_ratio,prior_danger_error_fraction
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",fixed_1,1,0.8064860105514526,0.004087707959115505,0.004870836157351732,0.8389148116111755,0.7955304384231567,0.8064860105514526,0.05417126417160034,0.8389148116111755,0.5442647337913513
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",fixed_2,2,0.700596809387207,0.0034360578283667564,0.004870836157351732,0.7247946262359619,0.7196719646453857,0.700596809387207,0.08842939138412476,0.7247946262359619,0.5414074063301086
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",fixed_4,4,0.5997254848480225,0.002744528464972973,0.004870836157351732,0.6337470412254333,0.6254914999008179,0.5997254848480225,0.1251581907272339,0.6337470412254333,0.5414735078811646
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",fixed_8,8,0.4978291094303131,0.002396000549197197,0.004870836157351732,0.5157601237297058,0.5456856489181519,0.4978291094303131,0.17335164546966553,0.5157601237297058,0.5390528440475464
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",fixed_16,16,0.3880757987499237,0.0016566221602261066,0.004870836157351732,0.41281628608703613,0.4830603301525116,0.3880757987499237,0.22842645645141602,0.41281628608703613,0.5368138551712036
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",energy_25,1,0.8064860105514526,0.004087707959115505,0.004870836157351732,0.8389148116111755,0.7955304384231567,0.8064860105514526,0.05417126417160034,0.8389148116111755,0.5442647337913513
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",energy_50,2,0.700596809387207,0.0034360578283667564,0.004870836157351732,0.7247946262359619,0.7196719646453857,0.700596809387207,0.08842939138412476,0.7247946262359619,0.5414074063301086
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",energy_75,8,0.4978291094303131,0.002396000549197197,0.004870836157351732,0.5157601237297058,0.5456856489181519,0.4978291094303131,0.17335164546966553,0.5157601237297058,0.5390528440475464
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",energy_90,26,0.3150167167186737,0.0012584705837070942,0.004870836157351732,0.34029635787010193,0.4005712866783142,0.3150167167186737,0.26819610595703125,0.34029635787010193,0.5360358953475952
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",fixed_1,1,0.811438262462616,0.014379415661096573,0.025369351729750633,0.7582314014434814,0.7334890365600586,0.811438262462616,0.0551949143409729,0.7582314014434814,0.7395110130310059
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",fixed_2,2,0.6809394359588623,0.010158300399780273,0.025369351729750633,0.6097245216369629,0.6245508193969727,0.6809394359588623,0.09820204973220825,0.6097245216369629,0.7396197319030762
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",fixed_4,4,0.5854166746139526,0.008644099347293377,0.025369351729750633,0.516417384147644,0.5226545929908752,0.5854166746139526,0.1430978775024414,0.516417384147644,0.7353926301002502
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",fixed_8,8,0.4854655861854553,0.0075425333343446255,0.025369351729750633,0.42334693670272827,0.4272993505001068,0.4854655861854553,0.1904209852218628,0.42334693670272827,0.7410615682601929
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",fixed_16,16,0.38109707832336426,0.00520158838480711,0.025369351729750633,0.3353569805622101,0.3427138924598694,0.38109707832336426,0.24961131811141968,0.3353569805622101,0.7352061867713928
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",energy_25,1,0.811438262462616,0.014379415661096573,0.025369351729750633,0.7582314014434814,0.7334890365600586,0.811438262462616,0.0551949143409729,0.7582314014434814,0.7395110130310059
