seed,update,parameter_id,parameter_name,shape,component,removed_energy,removed_energy_fraction,coefficient_count,budget_fraction,baseline_update_cosine,baseline_update_relative_l2,baseline_update_norm_ratio,restored_update_cosine,restored_update_relative_l2,restored_update_norm_ratio,polar_baseline_cosine,polar_baseline_relative_l2,polar_restored_cosine,polar_restored_relative_l2,polar_restored_norm_ratio,update_cosine_gain,update_l2_reduction,recovered_cosine_error_fraction,recovered_l2_error_fraction,polar_update_cosine_gain,polar_update_l2_reduction
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",danger_diagonal,0.0014698364539071918,0.028536368723128466,,,0.6242625713348389,0.8662538528442383,0.9985569715499878,0.6260228753089905,0.8641670346260071,0.9984254837036133,0.6566484570503235,0.8286778926849365,0.6581155061721802,0.8269063234329224,1.0000003576278687,0.0017603039741516113,0.002086818218231201,0.004684931124389815,0.0024090146455099616,0.0014670491218566895,0.0017715692520141602
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",danger_cross,0.040211111307144165,0.7806848823058787,,,0.6242625713348389,0.8662538528442383,0.9985569715499878,0.7647303342819214,0.6980136632919312,1.0331165790557861,0.6566484570503235,0.8286778926849365,0.7800345420837402,0.6632752418518066,1.0000003576278687,0.14046776294708252,0.16824018955230713,0.3738455427400621,0.19421580521680926,0.12338608503341675,0.16540265083312988
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",danger_full,0.04023796319961548,0.781206202553746,,,0.6242625713348389,0.8662538528442383,0.9985569715499878,0.766494870185852,0.6950639486312866,1.0322456359863281,0.6566484570503235,0.8286778926849365,0.7815690636634827,0.660959780216217,0.9999995231628418,0.14223229885101318,0.17118990421295166,0.3785417368621098,0.19762094408108039,0.12492060661315918,0.16771811246871948
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",internal_cross,0.01890762709081173,0.3670850705250537,,,0.6242625713348389,0.8662538528442383,0.9985569715499878,0.6714051961898804,0.8202419281005859,1.0229418277740479,0.6566484570503235,0.8286778926849365,0.6945574879646301,0.7815936207771301,0.9999998211860657,0.047142624855041504,0.046011924743652344,0.12546693850149465,0.05311598279485607,0.03790903091430664,0.047084271907806396
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",outside_cross,0.03548851236701012,0.6889972497608566,,,0.6242625713348389,0.8662538528442383,0.9985569715499878,0.6716499328613281,0.807471513748169,0.9927710294723511,0.6566484570503235,0.8286778926849365,0.706823468208313,0.7657402157783508,0.9999995231628418,0.04738736152648926,0.058782339096069336,0.1261182887604167,0.06785809829654983,0.0501750111579895,0.0629376769065857
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",local_cross,0.02505202777683735,0.4863764944742802,,,0.6242625713348389,0.8662538528442383,0.9985569715499878,0.7043115496635437,0.7788954973220825,1.0248219966888428,0.6566484570503235,0.8286778926849365,0.7221935391426086,0.7453977465629578,0.9999997019767761,0.08004897832870483,0.08735835552215576,0.21304499424793952,0.10084613792518823,0.06554508209228516,0.08328014612197876
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",medium_cross,0.029726292937994003,0.5771257433406184,,,0.6242625713348389,0.8662538528442383,0.9985569715499878,0.647570788860321,0.838356614112854,0.9971193671226501,0.6566484570503235,0.8286778926849365,0.68365877866745,0.7954151630401611,1.000001072883606,0.023308217525482178,0.027897238731384277,0.06203325979071764,0.03220446135943536,0.027010321617126465,0.03326272964477539
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",distant_cross,0.0102799441665411,0.19958157685488537,,,0.6242625713348389,0.8662538528442383,0.9985569715499878,0.6243590116500854,0.8661428689956665,0.9985530376434326,0.6566484570503235,0.8286778926849365,0.65677809715271,0.8285216689109802,1.0000004768371582,9.644031524658203e-05,0.00011098384857177734,0.00025666943958496327,0.00012811931307130754,0.0001296401023864746,0.00015622377395629883
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",danger_diagonal,0.0064875055104494095,0.03005559747882342,,,0.5780423283576965,0.9399250745773315,1.0445083379745483,0.5828134417533875,0.9345879554748535,1.0444670915603638,0.5500991940498352,0.9485799074172974,0.554377019405365,0.9440596699714661,0.9999997019767761,0.004771113395690918,0.005337119102478027,0.01130709006218857,0.005678238879708619,0.004277825355529785,0.004520237445831299
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",danger_cross,0.1669280081987381,0.7733513311521575,,,0.5780423283576965,0.9399250745773315,1.0445083379745483,0.8978849649429321,0.4658590257167816,1.0502609014511108,0.5500991940498352,0.9485799074172974,0.8548493385314941,0.5387991070747375,0.9999998807907104,0.3198426365852356,0.4740660488605499,0.7579969700287106,0.5043657858300349,0.30475014448165894,0.4097808003425598
