seed,update,parameter_id,parameter_name,shape,bin_id,bin_label,component,selection_status,baseline_update_cosine,baseline_update_relative_l2,update_cosine_gain,update_l2_reduction,polar_update_cosine_gain,polar_update_l2_reduction,removed_energy,removed_energy_fraction,aggregation,samples
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",6,"[-3,-2.5)",diagonal,selected,0.6242625713348389,0.8662538528442383,0.00037592649459838867,0.000405728816986084,0.00041991472244262695,0.0005069375038146973,1.9583262655942235e-07,7.381470545961944e-05,,
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",6,"[-3,-2.5)",associated,selected,0.6242625713348389,0.8662538528442383,0.01498103141784668,0.012917160987854004,0.019791603088378906,0.024237394332885742,0.00032797339372336864,0.12362219657476908,,
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",7,"[-2.5,-2)",diagonal,selected,0.6242625713348389,0.8662538528442383,0.0013842582702636719,0.0016809701919555664,0.0010450482368469238,0.0012617707252502441,1.964646116903168e-06,0.0007405291804508807,,
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",7,"[-2.5,-2)",associated,selected,0.6242625713348389,0.8662538528442383,0.12569773197174072,0.14823436737060547,0.1057160496711731,0.13927459716796875,0.0013898622710257769,0.5238773332495515,,
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",8,"[-2,-1.5)",diagonal,selected,0.6242625713348389,0.8662538528442383,0.0016672611236572266,0.002037346363067627,0.0019428133964538574,0.0023470520973205566,3.0643216177850263e-06,0.0011550271352854056,,
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",8,"[-2,-1.5)",associated,selected,0.6242625713348389,0.8662538528442383,0.05990612506866455,0.07745647430419922,0.0667729377746582,0.08492904901504517,0.0014710911782458425,0.5544947434666204,,
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",9,"[-1.5,-1)",diagonal,selected,0.6242625713348389,0.8662538528442383,0.00035762786865234375,0.00011551380157470703,0.0002689361572265625,0.00032383203506469727,2.8702631880150875e-06,0.0010818811734143495,,
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",9,"[-1.5,-1)",associated,selected,0.6242625713348389,0.8662538528442383,0.011005520820617676,0.016265034675598145,0.012351632118225098,0.015041232109069824,0.0009883780730888247,0.37254689185134426,,
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",10,"[-1,-0.5)",diagonal,selected,0.6242625713348389,0.8662538528442383,1.5616416931152344e-05,1.3589859008789062e-05,1.722574234008789e-05,1.9788742065429688e-05,5.571769634116208e-06,0.0021001532873090654,,
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",10,"[-1,-0.5)",associated,selected,0.6242625713348389,0.8662538528442383,0.0006527304649353027,0.0007368922233581543,0.0006498098373413086,0.0007837414741516113,0.00033059826819226146,0.12461158398785678,,
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",11,"[-0.5,0)",diagonal,selected,0.6242625713348389,0.8662538528442383,1.9073486328125e-06,-4.094839096069336e-05,7.748603820800781e-07,7.748603820800781e-07,1.1139105481561273e-05,0.004198635358422183,,
