seed,update,parameter_id,parameter_name,shape,row_bin_label,col_bin_label,energy,energy_fraction,selection_status,update_cosine_gain,polar_update_cosine_gain,update_l2_reduction,status
1,4096,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]","[-2,-1.5)","[-2.5,-2)",0.0002893312484957278,0.08339467688518594,top-two-by-pre-intervention-energy,0.017141878604888916,0.016908884048461914,0.018354058265686035,
1,4096,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]","[-2.5,-2)","[-2,-1.5)",0.0002495261433068663,0.07192155083031061,top-two-by-pre-intervention-energy,0.010782957077026367,0.011054277420043945,0.010708808898925781,
1,4096,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]","[-2.5,-2)","[-2,-1.5)",0.0015617778990417719,0.06153209517151676,top-two-by-pre-intervention-energy,0.015014708042144775,0.013370990753173828,0.015563011169433594,
1,4096,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]","[-2,-1.5)","[-2.5,-2)",0.0015553075354546309,0.06127717094171267,top-two-by-pre-intervention-energy,0.014535963535308838,0.013316929340362549,0.015602588653564453,
1,4096,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]","[-1.5,-1)","[-2,-1.5)",0.000341036356985569,0.16737946025454878,top-two-by-pre-intervention-energy,0.004444420337677002,0.004542291164398193,0.012265712022781372,
1,4096,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]","[-2,-1.5)","[-1.5,-1)",0.00029831883148290217,0.14641384701247193,top-two-by-pre-intervention-energy,0.004086196422576904,0.00417935848236084,0.011310935020446777,
1,4096,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]","[-1.5,-1)","[-2,-1.5)",0.0003019326541107148,0.156367935448817,top-two-by-pre-intervention-energy,0.004391074180603027,0.004627227783203125,0.0119209885597229,
1,4096,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]","[-2,-1.5)","[-1.5,-1)",0.0002624308399390429,0.13591033656240376,top-two-by-pre-intervention-energy,0.004023611545562744,0.00425267219543457,0.010976731777191162,
1,4096,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"[384, 1024]","[-2,-1.5)","[-1.5,-1)",0.004727653227746487,0.17245424506290224,top-two-by-pre-intervention-energy,0.00758814811706543,0.007668197154998779,0.01645815372467041,
1,4096,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"[384, 1024]","[-1.5,-1)","[-2,-1.5)",0.0038111673202365637,0.13902288331183096,top-two-by-pre-intervention-energy,0.0064424872398376465,0.006476104259490967,0.01423373818397522,
1,4096,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"[1152, 384]","[-2,-1.5)","[-2.5,-2)",0.000235488943872042,0.07564057718441335,top-two-by-pre-intervention-energy,0.009782612323760986,0.010746181011199951,0.010718822479248047,
1,4096,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"[1152, 384]","[-2,-1.5)","[-3,-2.5)",0.00022927508689463139,0.07364464599297649,top-two-by-pre-intervention-energy,0.005746781826019287,0.008653700351715088,0.006489932537078857,
1,4096,transformer.h.1.attn.c_proj.weight,transformer.h.1.attn.c_proj.weight,"[384, 384]","[-2.5,-2)","[-2,-1.5)",0.0013470847625285387,0.05451118461571046,top-two-by-pre-intervention-energy,0.007970422506332397,0.007764995098114014,0.009967565536499023,
1,4096,transformer.h.1.attn.c_proj.weight,transformer.h.1.attn.c_proj.weight,"[384, 384]","[-2,-1.5)","[-2.5,-2)",0.0013316095573827624,0.053884964359841796,top-two-by-pre-intervention-energy,0.008306413888931274,0.007407814264297485,0.010653018951416016,
1,4096,transformer.h.1.mlp.w1.weight,transformer.h.1.mlp.w1.weight,"[1024, 384]","[-1.5,-1)","[-2,-1.5)",0.00031605776166543365,0.20221236146625582,top-two-by-pre-intervention-energy,0.005363941192626953,0.005395174026489258,0.01364395022392273,
1,4096,transformer.h.1.mlp.w1.weight,transformer.h.1.mlp.w1.weight,"[1024, 384]","[-2,-1.5)","[-1.5,-1)",0.00025796896079555154,0.1650474029575763,top-two-by-pre-intervention-energy,0.0047078728675842285,0.004791080951690674,0.012063682079315186,
1,4096,transformer.h.1.mlp.w2.weight,transformer.h.1.mlp.w2.weight,"[1024, 384]","[-1.5,-1)","[-2,-1.5)",0.0003412506193853915,0.21097391349158415,top-two-by-pre-intervention-energy,0.005703926086425781,0.005793273448944092,0.014080256223678589,
1,4096,transformer.h.1.mlp.w2.weight,transformer.h.1.mlp.w2.weight,"[1024, 384]","[-2,-1.5)","[-1.5,-1)",0.0002667894586920738,0.1649392352164553,top-two-by-pre-intervention-energy,0.004808545112609863,0.004860103130340576,0.012068182229995728,
