seed,update,parameter_id,rank,method,pairing,zero_pair_fraction,vector_mean_magnitude_relative_error,vector_mean_direction_cosine,vector_small_norm_magnitude_error,vector_large_norm_magnitude_error,residual_relative_l2,residual_cosine
0,128,transformer.h.0.attn.c_attn.weight,4,mse64_contiguous,contiguous,0.018152307718992233,0.1564563810825348,0.9645070433616638,0.18502189218997955,0.1278913915157318,0.18844671547412872,0.9822115898132324
0,128,transformer.h.0.attn.c_attn.weight,4,mse64_row,row,0.018152307718992233,0.1564563810825348,0.9645070433616638,0.18502189218997955,0.1278913915157318,0.18844671547412872,0.9822115898132324
0,128,transformer.h.0.attn.c_attn.weight,4,mse64_column,column,0.3928765058517456,0.5259523987770081,0.5767905116081238,0.8529331088066101,0.1989775449037552,0.23591724038124084,0.9732587337493896
0,128,transformer.h.0.attn.c_attn.weight,4,mse64_checkerboard,checkerboard,0.01679144985973835,0.1541566103696823,0.9663650393486023,0.18080966174602509,0.12750405073165894,0.18877921998500824,0.9821551442146301
0,128,transformer.h.0.attn.c_attn.weight,8,mse64_contiguous,contiguous,0.01920572854578495,0.1600007265806198,0.9639045000076294,0.1903763711452484,0.12962563335895538,0.18618875741958618,0.9826247096061707
0,128,transformer.h.0.attn.c_attn.weight,8,mse64_row,row,0.01920572854578495,0.1600007265806198,0.9639045000076294,0.1903763711452484,0.12962563335895538,0.18618875741958618,0.9826247096061707
0,128,transformer.h.0.attn.c_attn.weight,8,mse64_column,column,0.38129791617393494,0.5174258947372437,0.5880012512207031,0.8467673063278198,0.18809036910533905,0.23482653498649597,0.9733661413192749
0,128,transformer.h.0.attn.c_attn.weight,8,mse64_checkerboard,checkerboard,0.017962420359253883,0.15825054049491882,0.9655567407608032,0.18677321076393127,0.12972839176654816,0.1860821545124054,0.9826544523239136
0,128,transformer.h.0.attn.c_proj.weight,4,mse64_contiguous,contiguous,0.012600368820130825,0.141873300075531,0.972693681716919,0.1848526895046234,0.09889625757932663,0.18557339906692505,0.982751190662384
0,128,transformer.h.0.attn.c_proj.weight,4,mse64_row,row,0.012600368820130825,0.141873300075531,0.972693681716919,0.1848526895046234,0.09889625757932663,0.18557339906692505,0.982751190662384
0,128,transformer.h.0.attn.c_proj.weight,4,mse64_column,column,0.01238335482776165,0.14250507950782776,0.972743570804596,0.18612410128116608,0.09888839721679688,0.1855371743440628,0.982762336730957
0,128,transformer.h.0.attn.c_proj.weight,4,mse64_checkerboard,checkerboard,0.012736002914607525,0.142441064119339,0.9724167585372925,0.1857641339302063,0.09912034124135971,0.18571510910987854,0.9827188849449158
0,128,transformer.h.0.attn.c_proj.weight,8,mse64_contiguous,contiguous,0.013400607742369175,0.14666546881198883,0.9718753099441528,0.19153842329978943,0.10179493576288223,0.1853601485490799,0.9827786684036255
0,128,transformer.h.0.attn.c_proj.weight,8,mse64_row,row,0.013400607742369175,0.14666546881198883,0.9718753099441528,0.19153842329978943,0.10179493576288223,0.1853601485490799,0.9827786684036255
0,128,transformer.h.0.attn.c_proj.weight,8,mse64_column,column,0.0130750872194767,0.14642976224422455,0.9722644090652466,0.1917445808649063,0.10111743211746216,0.18465277552604675,0.9829145073890686
0,128,transformer.h.0.attn.c_proj.weight,8,mse64_checkerboard,checkerboard,0.0126953125,0.1456926465034485,0.9729152321815491,0.1895703375339508,0.10181732475757599,0.18483459949493408,0.9828795790672302
0,128,transformer.h.0.mlp.w1.weight,4,mse64_contiguous,contiguous,0.01837158203125,0.16023457050323486,0.9635739922523499,0.21391162276268005,0.10655861347913742,0.21272680163383484,0.9774730205535889
0,128,transformer.h.0.mlp.w1.weight,4,mse64_row,row,0.01837158203125,0.16023457050323486,0.9635739922523499,0.21391162276268005,0.10655861347913742,0.21272680163383484,0.9774730205535889
0,128,transformer.h.0.mlp.w1.weight,4,mse64_column,column,0.0182952880859375,0.16147306561470032,0.9636409282684326,0.21423250436782837,0.10871471464633942,0.22970829904079437,0.9737844467163086
0,128,transformer.h.0.mlp.w1.weight,4,mse64_checkerboard,checkerboard,0.01734415628015995,0.15777376294136047,0.9651384353637695,0.20893143117427826,0.10661713778972626,0.21089133620262146,0.9778380990028381
0,128,transformer.h.0.mlp.w1.weight,8,mse64_contiguous,contiguous,0.0190887451171875,0.16279737651348114,0.9634310603141785,0.21806135773658752,0.10753452777862549,0.20584164559841156,0.978862464427948
0,128,transformer.h.0.mlp.w1.weight,8,mse64_row,row,0.0190887451171875,0.16279737651348114,0.9634310603141785,0.21806135773658752,0.10753452777862549,0.20584164559841156,0.978862464427948
0,128,transformer.h.0.mlp.w1.weight,8,mse64_column,column,0.018798828125,0.16407300531864166,0.9640148282051086,0.21969927847385406,0.10844790190458298,0.21755431592464447,0.9764094948768616
