seed,update,parameter_id,parameter_name,shape,rank_label,rank,raw_relative_l2,raw_cosine,raw_norm_ratio,update_relative_l2,update_cosine,update_norm_ratio,exact_polar_relative_l2,exact_polar_cosine,exact_polar_norm_ratio,update_cosine_gain_vs_direct
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",fixed_1,1,0.17797516286373138,0.984318196773529,1.0077558755874634,0.8662775754928589,0.6242770552635193,0.9986518621444702,0.8286778330802917,0.6566483378410339,1.0000008344650269,1.4483928680419922e-05
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",fixed_2,2,0.1779363453388214,0.984357476234436,1.0091897249221802,0.8662862181663513,0.6242889165878296,0.9987009763717651,0.8286775946617126,0.6566483974456787,1.0000008344650269,2.6345252990722656e-05
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",fixed_4,4,0.17786677181720734,0.9844130873680115,1.0108685493469238,0.866296648979187,0.6242907643318176,0.9987314343452454,0.8286774158477783,0.6566489934921265,1.000000238418579,2.8192996978759766e-05
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",fixed_8,8,0.17778214812278748,0.9844680428504944,1.0123666524887085,0.8662900328636169,0.6243158578872681,0.9987826943397522,0.8286752700805664,0.6566503047943115,1.0000005960464478,5.328655242919922e-05
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",fixed_16,16,0.17761780321598053,0.984534502029419,1.0136862993240356,0.8662887215614319,0.6243219375610352,0.9987939596176147,0.8286677598953247,0.6566568613052368,1.0000008344650269,5.936622619628906e-05
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",energy_25,1,0.17797516286373138,0.984318196773529,1.0077558755874634,0.8662775754928589,0.6242770552635193,0.9986518621444702,0.8286778330802917,0.6566483378410339,1.0000008344650269,1.4483928680419922e-05
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",energy_50,2,0.1779363453388214,0.984357476234436,1.0091897249221802,0.8662862181663513,0.6242889165878296,0.9987009763717651,0.8286775946617126,0.6566483974456787,1.0000008344650269,2.6345252990722656e-05
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",energy_75,8,0.17778214812278748,0.9844680428504944,1.0123666524887085,0.8662900328636169,0.6243158578872681,0.9987826943397522,0.8286752700805664,0.6566503047943115,1.0000005960464478,5.328655242919922e-05
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",energy_90,26,0.17735351622104645,0.9845982193946838,1.0143247842788696,0.8662569522857666,0.624314546585083,0.9987004399299622,0.828650176525116,0.6566712856292725,1.0000007152557373,5.1975250244140625e-05
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",fixed_1,1,0.18982818722724915,0.9821080565452576,1.005893349647522,0.9398981928825378,0.5780621767044067,1.0444996356964111,0.9485797882080078,0.5500990152359009,1.000000238418579,1.9848346710205078e-05
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",fixed_2,2,0.1897166222333908,0.9821990132331848,1.0087040662765503,0.9398869872093201,0.578061580657959,1.0444740056991577,0.9485796093940735,0.5500991344451904,1.000000238418579,1.9252300262451172e-05
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",fixed_4,4,0.18959462642669678,0.9822841882705688,1.010981798171997,0.9398782253265381,0.5780420303344727,1.0444122552871704,0.9485797882080078,0.5500999689102173,0.9999993443489075,-2.980232238769531e-07
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",fixed_8,8,0.1894645243883133,0.9823682308197021,1.0130239725112915,0.9398481845855713,0.5780991315841675,1.0444812774658203,0.9485770463943481,0.5501015186309814,0.9999994039535522,5.6803226470947266e-05
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",fixed_16,16,0.18922272324562073,0.9824697375297546,1.0148341655731201,0.9398230910301208,0.5780190229415894,1.0442479848861694,0.9485691785812378,0.5501092076301575,1.000000238418579,-2.3305416107177734e-05
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",energy_25,1,0.18982818722724915,0.9821080565452576,1.005893349647522,0.9398981928825378,0.5780621767044067,1.0444996356964111,0.9485797882080078,0.5500990152359009,1.000000238418579,1.9848346710205078e-05
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",energy_50,2,0.1897166222333908,0.9821990132331848,1.0087040662765503,0.9398869872093201,0.578061580657959,1.0444740056991577,0.9485796093940735,0.5500991344451904,1.000000238418579,1.9252300262451172e-05
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",energy_75,8,0.1894645243883133,0.9823682308197021,1.0130239725112915,0.9398481845855713,0.5780991315841675,1.0444812774658203,0.9485770463943481,0.5501015186309814,0.9999994039535522,5.6803226470947266e-05
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",energy_90,25,0.1888658106327057,0.9825677871704102,1.0158157348632812,0.9397397637367249,0.5781018137931824,1.044268012046814,0.948529064655304,0.550146758556366,0.9999998807907104,5.9485435485839844e-05
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",fixed_1,1,0.18718209862709045,0.9825950264930725,1.0047945976257324,0.4161437451839447,0.9144220948219299,1.011022925376892,0.4191250205039978,0.9121738076210022,1.0000007152557373,0.00014281272888183594
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",fixed_2,2,0.18710196018218994,0.9826499819755554,1.0066579580307007,0.41593673825263977,0.9144812226295471,1.0107569694519043,0.41912540793418884,0.9121735095977783,1.0000009536743164,0.00020194053649902344
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",fixed_4,4,0.18701854348182678,0.982710599899292,1.0085090398788452,0.4157164394855499,0.9145590662956238,1.0106176137924194,0.41912445425987244,0.9121742844581604,1.0000005960464478,0.0002797842025756836
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",fixed_8,8,0.1869255155324936,0.9827631115913391,1.0098836421966553,0.4155547320842743,0.914607584476471,1.0104291439056396,0.419120192527771,0.9121758937835693,1.0000007152557373,0.00032830238342285156
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",fixed_16,16,0.18678002059459686,0.9828273057937622,1.011267900466919,0.4153873026371002,0.9146486520767212,1.0101299285888672,0.41910579800605774,0.9121821522712708,1.0000005960464478,0.0003693699836730957
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",energy_25,1,0.18718209862709045,0.9825950264930725,1.0047945976257324,0.4161437451839447,0.9144220948219299,1.011022925376892,0.4191250205039978,0.9121738076210022,1.0000007152557373,0.00014281272888183594
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",energy_50,4,0.18701854348182678,0.982710599899292,1.0085090398788452,0.4157164394855499,0.9145590662956238,1.0106176137924194,0.41912445425987244,0.9121742844581604,1.0000005960464478,0.0002797842025756836
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",energy_75,28,0.1865200698375702,0.9829064607620239,1.01239013671875,0.41514644026756287,0.9146943688392639,1.0095703601837158,0.41906145215034485,0.9122000336647034,1.000001311302185,0.0004150867462158203
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",energy_90,115,0.18239709734916687,0.9837123155593872,1.014350175857544,0.41181057691574097,0.9159064292907715,1.0078827142715454,0.417418897151947,0.9128888845443726,0.9999993443489075,0.0016271471977233887
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",fixed_1,1,0.18665871024131775,0.9826973080635071,1.0052165985107422,0.41568684577941895,0.9146336317062378,1.0112802982330322,0.41982248425483704,0.9118809700012207,0.999998152256012,0.00012058019638061523
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",fixed_2,2,0.18660575151443481,0.9827415347099304,1.0066875219345093,0.415526419878006,0.9146752953529358,1.0110270977020264,0.4198223948478699,0.9118809103965759,0.9999982714653015,0.00016224384307861328
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",fixed_4,4,0.1865144520998001,0.9828065633773804,1.0086464881896973,0.41527849435806274,0.9147599935531616,1.0108455419540405,0.41982200741767883,0.9118810892105103,0.9999983310699463,0.00024694204330444336
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",fixed_8,8,0.1864391714334488,0.9828545451164246,1.0100029706954956,0.4151102304458618,0.9148194789886475,1.0107332468032837,0.4198189675807953,0.9118821024894714,0.9999985694885254,0.0003064274787902832
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",fixed_16,16,0.18628185987472534,0.9829221367835999,1.011448621749878,0.4149368703365326,0.9148585796356201,1.0104107856750488,0.4198043942451477,0.9118877053260803,0.9999992251396179,0.00034552812576293945
