seed,update,parameter_id,parameter_name,shape,rank_label,kind,struct_danger_mode_count,struct_danger_active_fraction,struct_danger_diagonal_energy,struct_danger_cross_energy,struct_danger_total_associated_energy,struct_danger_fraction_of_error,struct_danger_fraction_of_matrix,quant_error_danger_fraction,quant_error_danger_cross_energy
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",fixed_1,structural,170,0.4427083432674408,1.4219034483176074e-06,0.0013633330818265676,0.0013647549785673618,0.5442647337913513,0.011907745152711868,0.5442647337913513,0.0013633330818265676
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",fixed_2,structural,170,0.4427083432674408,9.396438827025122e-07,0.0010158255463466048,0.00101676513440907,0.5414074659347534,0.008871467784047127,0.5414074063301086,0.0010158255463466048
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",fixed_4,structural,170,0.4427083432674408,7.534198971370643e-07,0.0007577792857773602,0.0007585327257402241,0.5414735674858093,0.006618340965360403,0.5414735078811646,0.0007577792857773602
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",fixed_8,structural,170,0.4427083432674408,6.945380732759077e-07,0.0004957168130204082,0.0004964113468304276,0.5390528440475464,0.004331282805651426,0.5390528440475464,0.0004957168130204082
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",fixed_16,structural,170,0.4427083432674408,4.2110377762583084e-07,0.0002989727654494345,0.000299393868772313,0.5368137955665588,0.0026122680865228176,0.5368138551712036,0.000298972794553265
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",energy_25,structural,170,0.4427083432674408,1.4219034483176074e-06,0.0013633330818265676,0.0013647549785673618,0.5442647337913513,0.011907745152711868,0.5442647337913513,0.0013633330818265676
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",energy_50,structural,170,0.4427083432674408,9.396438827025122e-07,0.0010158255463466048,0.00101676513440907,0.5414074659347534,0.008871467784047127,0.5414074063301086,0.0010158255463466048
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",energy_75,structural,170,0.4427083432674408,6.945380732759077e-07,0.0004957168130204082,0.0004964113468304276,0.5390528440475464,0.004331282805651426,0.5390528440475464,0.0004957168130204082
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",energy_90,structural,170,0.4427083432674408,2.566067109910364e-07,0.00019382566097192466,0.00019408226944506168,0.5360358953475952,0.0016934043960645795,0.5360358953475952,0.00019382564642000943
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",fixed_1,structural,143,0.3723958432674408,2.8864757041446865e-05,0.021616792306303978,0.02164565771818161,0.7395111322402954,0.01677260734140873,0.7395110130310059,0.021616792306303978
