seed,update,parameter_id,parameter_name,shape,effective_rank,total_residual_energy,projected_residual_energy,unresolved_residual_energy,raw_relative_l2,raw_cosine,baseline_update_cosine,baseline_update_relative_l2,baseline_polar_cosine,baseline_polar_relative_l2,interaction,readout,update_cosine_gain,sum_single_gains,interaction_term
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",384,0.0036366689018905163,0.0026530299801379442,0.000983638921752572,0.17813079059123993,0.9841997623443604,0.6242625713348389,0.8662538528442383,0.6566484570503235,0.8286778926849365,MM_plus_M_to_T,production,0.0040381550788879395,0.003674328327178955,0.0003638267517089844
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",384,0.0036366689018905163,0.0026530299801379442,0.000983638921752572,0.17813079059123993,0.9841997623443604,0.6242625713348389,0.8662538528442383,0.6566484570503235,0.8286778926849365,MM_plus_M_to_T,polar,0.005402922630310059,0.0051119327545166016,0.00029098987579345703
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",384,0.0036366689018905163,0.0026530299801379442,0.000983638921752572,0.17813079059123993,0.9841997623443604,0.6242625713348389,0.8662538528442383,0.6566484570503235,0.8286778926849365,MM_plus_H_to_M,production,0.002543926239013672,0.0025770068168640137,-3.30805778503418e-05
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",384,0.0036366689018905163,0.0026530299801379442,0.000983638921752572,0.17813079059123993,0.9841997623443604,0.6242625713348389,0.8662538528442383,0.6566484570503235,0.8286778926849365,MM_plus_H_to_M,polar,0.003268301486968994,0.00328749418258667,-1.919269561767578e-05
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",384,0.0036366689018905163,0.0026530299801379442,0.000983638921752572,0.17813079059123993,0.9841997623443604,0.6242625713348389,0.8662538528442383,0.6566484570503235,0.8286778926849365,diag_plus_M_to_T,production,0.0037750601768493652,0.003064751625061035,0.0007103085517883301
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",384,0.0036366689018905163,0.0026530299801379442,0.000983638921752572,0.17813079059123993,0.9841997623443604,0.6242625713348389,0.8662538528442383,0.6566484570503235,0.8286778926849365,diag_plus_M_to_T,polar,0.0057506561279296875,0.005014359951019287,0.0007362961769104004
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",384,0.04659130051732063,0.04659130424261093,0.0,0.1900058537721634,0.9819840788841248,0.5780423283576965,0.9399250745773315,0.5500991940498352,0.9485799074172974,MM_plus_M_to_T,production,0.00994873046875,0.009097695350646973,0.0008510351181030273
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",384,0.04659130051732063,0.04659130424261093,0.0,0.1900058537721634,0.9819840788841248,0.5780423283576965,0.9399250745773315,0.5500991940498352,0.9485799074172974,MM_plus_M_to_T,polar,0.009100139141082764,0.008546173572540283,0.0005539655685424805
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",384,0.04659130051732063,0.04659130424261093,0.0,0.1900058537721634,0.9819840788841248,0.5780423283576965,0.9399250745773315,0.5500991940498352,0.9485799074172974,MM_plus_H_to_M,production,0.004645049571990967,0.00468134880065918,-3.629922866821289e-05
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",384,0.04659130051732063,0.04659130424261093,0.0,0.1900058537721634,0.9819840788841248,0.5780423283576965,0.9399250745773315,0.5500991940498352,0.9485799074172974,MM_plus_H_to_M,polar,0.003932297229766846,0.0039040446281433105,2.8252601623535156e-05
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",384,0.04659130051732063,0.04659130424261093,0.0,0.1900058537721634,0.9819840788841248,0.5780423283576965,0.9399250745773315,0.5500991940498352,0.9485799074172974,diag_plus_M_to_T,production,0.008106827735900879,0.00676041841506958,0.0013464093208312988
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",384,0.04659130051732063,0.04659130424261093,0.0,0.1900058537721634,0.9819840788841248,0.5780423283576965,0.9399250745773315,0.5500991940498352,0.9485799074172974,diag_plus_M_to_T,polar,0.01060718297958374,0.008487582206726074,0.002119600772857666
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",384,0.0030042477883398533,0.001284375786781311,0.0017198720015585423,0.18733878433704376,0.9824832677841187,0.9142792820930481,0.4166063070297241,0.9121736884117126,0.4191253185272217,MM_plus_M_to_T,production,0.0010164380073547363,0.001023411750793457,-6.973743438720703e-06
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",384,0.0030042477883398533,0.001284375786781311,0.0017198720015585423,0.18733878433704376,0.9824832677841187,0.9142792820930481,0.4166063070297241,0.9121736884117126,0.4191253185272217,MM_plus_M_to_T,polar,0.0012209415435791016,0.0012465715408325195,-2.562999725341797e-05
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",384,0.0030042477883398533,0.001284375786781311,0.0017198720015585423,0.18733878433704376,0.9824832677841187,0.9142792820930481,0.4166063070297241,0.9121736884117126,0.4191253185272217,MM_plus_H_to_M,production,0.00047135353088378906,0.0004699826240539551,1.3709068298339844e-06
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",384,0.0030042477883398533,0.001284375786781311,0.0017198720015585423,0.18733878433704376,0.9824832677841187,0.9142792820930481,0.4166063070297241,0.9121736884117126,0.4191253185272217,MM_plus_H_to_M,polar,0.0005629062652587891,0.0005616545677185059,1.2516975402832031e-06
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",384,0.0030042477883398533,0.001284375786781311,0.0017198720015585423,0.18733878433704376,0.9824832677841187,0.9142792820930481,0.4166063070297241,0.9121736884117126,0.4191253185272217,diag_plus_M_to_T,production,0.0025442838668823242,0.002540111541748047,4.172325134277344e-06
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",384,0.0030042477883398533,0.001284375786781311,0.0017198720015585423,0.18733878433704376,0.9824832677841187,0.9142792820930481,0.4166063070297241,0.9121736884117126,0.4191253185272217,diag_plus_M_to_T,polar,0.002883315086364746,0.0029063820838928223,-2.3066997528076172e-05
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",384,0.0027920505963265896,0.0012005188036710024,0.0015915317926555872,0.18681688606739044,0.9825871586799622,0.9145130515098572,0.4161347448825836,0.9118812084197998,0.4198223948478699,MM_plus_M_to_T,production,0.0010196566581726074,0.0010271072387695312,-7.450580596923828e-06
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",384,0.0027920505963265896,0.0012005188036710024,0.0015915317926555872,0.18681688606739044,0.9825871586799622,0.9145130515098572,0.4161347448825836,0.9118812084197998,0.4198223948478699,MM_plus_M_to_T,polar,0.0012151598930358887,0.0012398362159729004,-2.467632293701172e-05
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",384,0.0027920505963265896,0.0012005188036710024,0.0015915317926555872,0.18681688606739044,0.9825871586799622,0.9145130515098572,0.4161347448825836,0.9118812084197998,0.4198223948478699,MM_plus_H_to_M,production,0.0004926919937133789,0.0004998445510864258,-7.152557373046875e-06
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",384,0.0027920505963265896,0.0012005188036710024,0.0015915317926555872,0.18681688606739044,0.9825871586799622,0.9145130515098572,0.4161347448825836,0.9118812084197998,0.4198223948478699,MM_plus_H_to_M,polar,0.0005781650543212891,0.0005774497985839844,7.152557373046875e-07
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",384,0.0027920505963265896,0.0012005188036710024,0.0015915317926555872,0.18681688606739044,0.9825871586799622,0.9145130515098572,0.4161347448825836,0.9118812084197998,0.4198223948478699,diag_plus_M_to_T,production,0.0025357604026794434,0.0025382637977600098,-2.5033950805664062e-06
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",384,0.0027920505963265896,0.0012005188036710024,0.0015915317926555872,0.18681688606739044,0.9825871586799622,0.9145130515098572,0.4161347448825836,0.9118812084197998,0.4198223948478699,diag_plus_M_to_T,polar,0.0029867887496948242,0.0030098557472229004,-2.3066997528076172e-05
