seed,update,parameter_id,shape,selection_reason,kind,band,epsilon,actual_relative_frobenius,target_relative_frobenius,theta,invalid_construction,raw_relative_l2,raw_cosine,raw_norm_ratio,update_relative_l2,update_cosine,update_norm_ratio,singular_value_max_abs_error,tail_head_update_error_ratio
0,128,transformer.h.0.attn.c_attn.weight,"[1152, 384]",layer_diversity,equal_energy_rotation,head,0.0025,0.002499999478459358,0.0025,0.014689286705102009,False,0.002499999012798071,0.9999969601631165,1.0,0.0007145000854507089,0.9999998211860657,1.0,5.960464477539063e-08,10.843091553918699
0,128,transformer.h.0.attn.c_attn.weight,"[1152, 384]",layer_diversity,equal_energy_rotation,tail,0.0025,0.002500000176951289,0.0025,0.15123455971479602,False,0.00250000087544322,0.9999969005584717,1.0,0.00774738984182477,0.9999701380729675,1.0,5.960464477539063e-08,10.843091553918699
0,128,transformer.h.0.attn.c_attn.weight,"[1152, 384]",layer_diversity,equal_energy_rotation,head,0.005,0.004999999888241291,0.005,0.02937769051641343,False,0.00500000175088644,0.9999874830245972,1.0,0.0014289428945630789,0.9999989867210388,1.0,4.470348358154297e-08,10.843488375844412
0,128,transformer.h.0.attn.c_attn.weight,"[1152, 384]",layer_diversity,equal_energy_rotation,tail,0.005,0.004999999888241291,0.005,0.30247251689434096,False,0.004999999888241291,0.9999875426292419,1.0,0.015494725666940212,0.9998799562454224,1.0,5.21540641784668e-08,10.843488375844412
0,128,transformer.h.0.attn.c_attn.weight,"[1152, 384]",layer_diversity,equal_energy_rotation,head,0.01,0.010000000707805157,0.01,0.05875479988754283,False,0.009999999776482582,0.9999499917030334,1.0,0.0028578408528119326,0.9999960064888,1.0,4.470348358154297e-08,10.843663439797503
0,128,transformer.h.0.attn.c_attn.weight,"[1152, 384]",layer_diversity,equal_energy_rotation,tail,0.01,0.009999999776482582,0.01,0.6049738824367561,False,0.010000002570450306,0.9999499917030334,1.0,0.03098946437239647,0.9995198249816895,1.0,4.470348358154297e-08,10.843663439797503
0,128,transformer.h.0.attn.c_attn.weight,"[1152, 384]",layer_diversity,equal_energy_rotation,head,0.02,0.019999999552965164,0.02,0.11751144751906611,False,0.020000016316771507,0.9998000264167786,1.0,0.005715641193091869,0.9999837279319763,1.0,4.470348358154297e-08,10.843712273650047
0,128,transformer.h.0.attn.c_attn.weight,"[1152, 384]",layer_diversity,equal_energy_rotation,tail,0.02,0.019999997690320015,0.02,1.2101778388023325,False,0.019999999552965164,0.9998000264167786,1.0,0.061978768557310104,0.9980792999267578,1.0000001192092896,5.960464477539063e-08,10.843712273650047
0,128,transformer.h.0.attn.c_attn.weight,"[1152, 384]",layer_diversity,equal_energy_rotation,head,0.05,0.04999999701976776,0.05,0.29382418096065466,False,0.050000034272670746,0.9987500309944153,1.0,0.014288819395005703,0.9998980760574341,1.0,4.470348358154297e-08,10.843776403367821
0,128,transformer.h.0.attn.c_attn.weight,"[1152, 384]",layer_diversity,equal_energy_rotation,tail,0.05,0.04999999701976776,0.05,3.0294910669326773,False,0.05000000074505806,0.9987499713897705,1.0,0.1549447625875473,0.9879961609840393,1.0,3.725290298461914e-08,10.843776403367821
0,1024,transformer.h.5.mlp.c_proj.weight,"[384, 1024]",medium_condition,equal_energy_rotation,head,0.0025,0.002499999711290002,0.0025,0.02805939968675309,False,0.0024999999441206455,0.9999970197677612,1.0,0.001497353077866137,0.9999988675117493,0.9999998807907104,5.960464477539063e-08,4.5767971410722845
