seed,update,parameter_id,parameter_name,shape,k,quantizer,danger_log10_low,danger_log10_high,danger_zone_mode_count,danger_diagonal_fraction_error,danger_cross_fraction_error,danger_associated_fraction_error,local_mixing_fraction_error,medium_mixing_fraction_error,distant_mixing_fraction_error,danger_diagonal_energy,danger_cross_energy
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",4,uniform_int3,-3,-2,170,0.0009802011772990227,0.6154540777206421,0.6164342761039734,0.4906451404094696,0.4623364508152008,0.04443024843931198,4.328819613874657e-06,0.002718003001064062
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",4,mulaw_mu_1,-3,-2,170,0.0009097735164687037,0.6125451922416687,0.6134549379348755,0.4873122274875641,0.46450844407081604,0.04357574135065079,2.830774064932484e-06,0.0019059436162933707
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",4,mulaw_mu_5,-3,-2,170,0.0009098234586417675,0.6078606843948364,0.6087705492973328,0.4836474061012268,0.46358466148376465,0.0428176112473011,2.419941210973775e-06,0.0016167830908671021
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",4,mulaw_mu_20,-3,-2,170,0.001028432627208531,0.6010530591011047,0.6020814776420593,0.4800049960613251,0.45826423168182373,0.044701624661684036,4.003340563940583e-06,0.0023396962787956
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",4,mulaw_mu_100,-3,-2,170,0.000901954248547554,0.5659393072128296,0.5668412446975708,0.450661838054657,0.4391975700855255,0.04644372686743736,8.837120731186587e-06,0.005544930696487427
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",4,mulaw_mu_500,-3,-2,170,0.0016101014334708452,0.4477289617061615,0.4493390619754791,0.3581734299659729,0.3477541506290436,0.03546680510044098,4.1691906517371535e-05,0.011593476869165897
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",4,mulaw_mu_2000,-3,-2,170,0.002040568273514509,0.33048057556152344,0.33252114057540894,0.2634662091732025,0.25169333815574646,0.02376192808151245,0.00010523417586227879,0.01704321801662445
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",4,lloyd_global,-3,-2,170,0.0011334759183228016,0.5744388103485107,0.5755723118782043,0.4641217589378357,0.43345242738723755,0.04144654795527458,2.6328580133849755e-06,0.001334316679276526
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",4,lloyd_per_tensor_oracle,-3,-2,170,0.0011550465133041143,0.577708899974823,0.5788639187812805,0.46486616134643555,0.4369589388370514,0.04173092916607857,2.6779775907925796e-06,0.0013394191628322005
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",4,scale_oracle,-3,-2,170,0.0009614040027372539,0.568211019039154,0.5691724419593811,0.44869527220726013,0.44049936532974243,0.04976275935769081,1.5420091585838236e-06,0.000911361537873745
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",4,muon_global_codebook,-3,-2,170,0.0008689307724125683,0.5950442552566528,0.5959132313728333,0.47591066360473633,0.45091116428375244,0.043810002505779266,2.842544517989154e-06,0.0019465760560706258
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",4,geometry_codebook,-3,-2,170,0.0008689307724125683,0.5950442552566528,0.5959132313728333,0.47591066360473633,0.45091116428375244,0.043810002505779266,2.842544517989154e-06,0.0019465760560706258
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",4,danger_zone_codebook,-3,-2,170,0.0008689307724125683,0.5950442552566528,0.5959132313728333,0.47591066360473633,0.45091116428375244,0.043810002505779266,2.842544517989154e-06,0.0019465760560706258
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",4,geometry_mulaw_5,-3,-2,170,0.0009098234586417675,0.6078606843948364,0.6087705492973328,0.4836474061012268,0.46358466148376465,0.0428176112473011,2.419941210973775e-06,0.0016167830908671021
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",4,geometry_power_0.75,-3,-2,170,0.0010623004054650664,0.6115909218788147,0.6126532554626465,0.48549994826316833,0.46262308955192566,0.044297002255916595,3.3532619454490487e-06,0.0019305505556985736
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",4,muon_mulaw_5,-3,-2,170,0.0009098234586417675,0.6078606843948364,0.6087705492973328,0.4836474061012268,0.46358466148376465,0.0428176112473011,2.419941210973775e-06,0.0016167830908671021
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",4,muon_power_0.75,-3,-2,170,0.0010623004054650664,0.6115909218788147,0.6126532554626465,0.48549994826316833,0.46262308955192566,0.044297002255916595,3.3532619454490487e-06,0.0019305505556985736
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",4,calibrated_mulaw_5,-3,-2,170,0.0009098234586417675,0.6078606843948364,0.6087705492973328,0.4836474061012268,0.46358466148376465,0.0428176112473011,2.419941210973775e-06,0.0016167830908671021
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",4,danger_weighted_codebook_D4_L1,-3,-2,170,0.0008689307724125683,0.5950442552566528,0.5959132313728333,0.47591066360473633,0.45091116428375244,0.043810002505779266,2.842544517989154e-06,0.0019465760560706258
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",4,per_tensor_muon_codebook_oracle,-3,-2,170,0.0008689307724125683,0.5950442552566528,0.5959132313728333,0.47591066360473633,0.45091116428375244,0.043810002505779266,2.842544517989154e-06,0.0019465760560706258
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",8,uniform_int3,-3,-2,170,0.0009855539537966251,0.6149265766143799,0.6159120798110962,0.49128565192222595,0.4617682695388794,0.04415121674537659,2.720447128012893e-06,0.0016973958117887378
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",8,mulaw_mu_1,-3,-2,170,0.0007738614222034812,0.6118842959403992,0.6126581430435181,0.48768484592437744,0.4654434025287628,0.0427614189684391,1.5425446235894924e-06,0.0012196742463856936
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",8,mulaw_mu_5,-3,-2,170,0.0008457986987195909,0.6060016751289368,0.6068474650382996,0.48433035612106323,0.45930221676826477,0.04371477663516998,1.492918272560928e-06,0.0010696528479456902
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",8,mulaw_mu_20,-3,-2,170,0.0009535160497762263,0.5987145900726318,0.5996680855751038,0.483364462852478,0.45827654004096985,0.042451102286577225,2.5257488687202567e-06,0.0015859226696193218
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",8,mulaw_mu_100,-3,-2,170,0.0011193016543984413,0.5626944899559021,0.5638137459754944,0.4504605829715729,0.4344664216041565,0.04084841534495354,7.642531272722408e-06,0.0038420474156737328
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",8,mulaw_mu_500,-3,-2,170,0.001886621699668467,0.4303182065486908,0.43220481276512146,0.3434567451477051,0.33164119720458984,0.031451646238565445,3.415940955164842e-05,0.007791395299136639
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",8,mulaw_mu_2000,-3,-2,170,0.003307150676846504,0.3095278739929199,0.31283503770828247,0.2481095939874649,0.23631365597248077,0.022545496001839638,0.00011655302660074085,0.010908608324825764
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",8,lloyd_global,-3,-2,170,0.0012195724993944168,0.5803048610687256,0.5815244317054749,0.46113818883895874,0.4403765797615051,0.04169324040412903,1.8877080947277136e-06,0.0008982214494608343
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",8,lloyd_per_tensor_oracle,-3,-2,170,0.0012342751724645495,0.5808653235435486,0.5820995569229126,0.46265581250190735,0.44221895933151245,0.04154236614704132,1.9068738765781745e-06,0.0008973986841738224
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",8,scale_oracle,-3,-2,170,0.001005172380246222,0.5709264278411865,0.5719316005706787,0.4549473822116852,0.44222646951675415,0.042216286063194275,1.0601995654724305e-06,0.0006021812441758811
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",8,muon_global_codebook,-3,-2,170,0.0011575472308322787,0.6003025770187378,0.6014600992202759,0.4762696325778961,0.4582805335521698,0.04098264500498772,2.5007834665302653e-06,0.0012969032395631075
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",8,geometry_codebook,-3,-2,170,0.0011575472308322787,0.6003025770187378,0.6014600992202759,0.4762696325778961,0.4582805335521698,0.04098264500498772,2.5007834665302653e-06,0.0012969032395631075
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",8,danger_zone_codebook,-3,-2,170,0.0011575472308322787,0.6003025770187378,0.6014600992202759,0.4762696325778961,0.4582805335521698,0.04098264500498772,2.5007834665302653e-06,0.0012969032395631075
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",8,geometry_mulaw_5,-3,-2,170,0.0008457986987195909,0.6060016751289368,0.6068474650382996,0.48433035612106323,0.45930221676826477,0.04371477663516998,1.492918272560928e-06,0.0010696528479456902
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",8,geometry_power_0.75,-3,-2,170,0.0009850321803241968,0.6099839806556702,0.6109690070152283,0.48628607392311096,0.46570920944213867,0.041154373437166214,2.0130380562477512e-06,0.0012465795734897256
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",8,muon_mulaw_5,-3,-2,170,0.0008457986987195909,0.6060016751289368,0.6068474650382996,0.48433035612106323,0.45930221676826477,0.04371477663516998,1.492918272560928e-06,0.0010696528479456902
