update,method,alpha,tensor_count,momentum_cosine,momentum_relative_l2,momentum_norm_ratio,gradient_cosine,gradient_relative_l2,gradient_norm_ratio,direction_cosine,direction_relative_l2,direction_norm_ratio,k5_cosine,k5_relative_l2,k5_norm_ratio,k5_distortion,state_only_k5_cosine,state_only_k5_relative_l2,state_only_k5_norm_ratio,state_only_k5_distortion,gradient_only_k5_cosine,gradient_only_k5_relative_l2,gradient_only_k5_norm_ratio,gradient_only_k5_distortion,local_previous_persistence_k5_cosine,local_previous_persistence_k5_relative_l2,local_previous_persistence_k5_norm_ratio,local_previous_persistence_k5_distortion
1,alpha0,0.0,30,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha05,0.5,30,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,alpha1,1.0,30,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
8,alpha0,0.0,30,0.9978697670449838,0.065253087959435,0.9964501347379453,0.9999970849367242,0.00242743533578149,1.0000092879497933,0.998443844803282,0.05577897059412476,0.9972998508226832,0.7622903263512125,0.7078535614922544,1.0488967205144428,0.23770967364878748,0.7622830333304507,0.7078661856276184,1.048901242237615,0.23771696666954933,0.9999932905609257,0.0036613992725634324,0.9999991385308119,6.7094390743260846e-06,1.0,0.0,1.0,0.0
8,alpha05,0.5,30,0.9993236379132147,0.036807188653132324,0.9977445395191644,0.9999991722171936,0.0013060725343255405,1.0000022535746709,0.9995056737197087,0.03146273629990933,0.9982928799489469,0.9020856812764178,0.44844500773307094,1.0239932650670238,0.09791431872358225,0.9020836220528082,0.44844995426682654,1.0239943822776336,0.09791637794719177,0.9999979426703236,0.0020152785993351784,0.9999997762081759,2.057329676397046e-06,0.9816285040606494,0.19297849929608393,1.0105287660080224,0.018371495939350613
8,alpha1,1.0,30,1.0,1.471002750336876e-07,0.9999999856084708,1.0,2.2227086445339342e-07,0.999999998545862,1.0,1.4308142840949781e-07,0.9999999980865586,0.999999996543756,2.079048678623254e-06,0.999999998271878,3.456243957700167e-09,0.999999999135939,1.914809903491129e-06,0.999999993951573,8.64061044936193e-10,1.0,1.499465245662379e-06,0.9999999879031459,0.0,0.8889855780983643,0.4778108738902786,1.0253621675615385,0.11101442190163568
32,alpha0,0.0,30,0.9968786833176417,0.07927460056942087,1.0040593874828592,0.9976537112510165,0.0685281466906685,1.0006512870635282,0.9967659434189845,0.0805975046556234,1.002953914852403,0.613939573622792,0.9381997334680318,1.1210298369239975,0.38606042637720805,0.6142119840657271,0.9379377352887603,1.1211474420586156,0.3857880159342729,0.9983943102331021,0.05667838590475327,1.000295861621962,0.0016056897668978998,1.0,0.0,1.0,0.0
32,alpha05,0.5,30,0.9987604493204524,0.04978365904654765,0.9996850579106098,0.9991332355864125,0.04164038478911027,1.0001892761748519,0.9987206992416557,0.05056989946325861,0.9993177345405826,0.775883498671898,0.6955158968388342,1.0686933056856767,0.224116501328102,0.7761105683272996,0.6951672174525542,1.068694037617499,0.22388943167270037,0.9993609223213588,0.03575471772521315,1.000184215802537,0.0006390776786412422,0.987036668180046,0.1624643429998895,1.0122568327643635,0.012963331819954016
32,alpha1,1.0,30,0.9999999902193261,2.980061601675653e-07,1.0000000135009306,0.9999999969496121,4.774094671045742e-07,0.9999999897167334,1.0,3.15742915817407e-07,1.00000000976122,1.0,3.9877458472724405e-06,0.9999999932733705,0.0,0.9999999798201117,3.865676102090888e-06,0.9999999971171588,2.0179888315929873e-08,1.0,1.8263159501144928e-06,0.9999999855857941,0.0,0.8764599918733578,0.5106914158911667,1.046718065138237,0.12354000812664223
128,alpha0,0.0,30,0.908807749021138,0.417482731995488,0.9237537547731453,0.9462926589958635,0.3278915676106901,1.0009063312885462,0.917741541054476,0.397716351185622,0.9384258784954133,0.5708062211997804,0.9338916237167765,1.0157481481520663,0.4291937788002196,0.5896545402974,0.913236491073018,1.0159096011142543,0.41034545970259995,0.9424221772833362,0.33952125654505433,1.001024331229019,0.057577822716663785,1.0,0.0,1.0,0.0
